first_name,middle_initial,last_name,age,gender,zip,education,2017_gross_income_usd,employment_status
Michael,X,Suarez,50,M,10059,postgrad,243088,accounting
Xiaohan,P,Roberts,63,M,10019,below high school,148847,management
Hong,K,Fernandez,37,F,10131,college,86227,food preparation
Maria,S,Fernandez,45,F,10017,college,70423,management
Natalia,R,Alberts,75,F,10036,below high school,121801,retired
Hong,R,Roberts,37,F,10011,some college,63624,management
John,E,Fernandez,23,M,10039,college,116173,restaurant and hospitality
Mark,T,Michaels,87,M,10001,college,226082,retired
Abel,N,Fernandez,73,M,10110,below high school,121363,retired
Maria,Q,Fernandez,85,F,10160,postgrad,241678,retired
Susie,R,Alberts,59,F,10155,below high school,120578,management
Michael,N,Michaels,94,M,10185,some college,159733,retired
Hong,O,Stevens,81,F,10170,below high school,149757,retired
Abel,A,Xing,56,M,10014,high school,123656,education
John,K,Suarez,59,M,10125,college,159139,cleaning
Maria,E,Michaels,26,F,10033,college,121454,management
Alice,D,Roberts,44,F,10114,below high school,220281,industrial
Juan,Z,Suarez,89,M,10189,college,179540,retired
Alice,G,Alberts,43,F,10079,college,82702,other services
Alice,P,Kim,56,F,10174,college,177900,industrial
Hong,X,Roberts,41,F,10036,college,151987,other services
Maria,F,Mellis,63,F,10198,high school,231800,industrial
Xiaohan,H,Michaels,41,M,10087,below high school,159243,engineering
John,X,Alberts,24,M,10164,below high school,190612,education
Hong,Z,Kim,88,F,10071,postgrad,238464,retired
Xiaohan,G,Fernandez,24,M,10069,college,217324,education
Juan,S,Mellis,63,M,10150,high school,183736,cleaning
Natalia,R,Suarez,97,F,10184,some college,94781,retired
Abel,X,Fernandez,44,M,10161,college,108451,other
Mark,F,Xing,28,M,10136,postgrad,50204,restaurant and hospitality
Hong,A,Mellis,37,F,10041,college,180051,cleaning
John,A,Alberts,38,M,10087,postgrad,51553,unemployed
Hong,T,Roberts,72,F,10093,high school,237463,retired
Juan,K,Michaels,87,M,10013,some college,81921,retired
Susie,S,Alberts,86,F,10123,postgrad,96674,retired
Mary,D,Suarez,52,F,10091,some college,137185,other
Mary,U,Michaels,22,F,10093,high school,164264,industrial
Xiaohan,C,Alberts,49,M,10168,postgrad,241042,accounting
Xiaohan,D,Fernandez,79,M,10142,below high school,235720,retired
Abel,R,Suarez,91,M,10106,postgrad,162059,retired
John,Y,Suarez,25,M,10055,postgrad,134455,cleaning
Mary,S,Stevens,38,F,10145,college,168493,cleaning
Alice,U,Stevens,51,F,10170,some college,239101,management
Xiaohan,Y,Mellis,62,M,10055,some college,222465,management
Abel,Q,Michaels,71,M,10083,college,152022,retired
Abel,K,Kim,62,M,10044,below high school,184861,other
Natalia,B,Alberts,46,F,10085,college,200645,accounting
Hong,Q,Roberts,37,F,10198,high school,148180,unemployed
Maria,L,Suarez,37,F,10089,high school,54195,cleaning
Abel,V,Xing,75,M,10094,postgrad,95338,retired
Susie,F,Stevens,38,F,10184,below high school,151713,education
Michael,E,Michaels,27,M,10175,below high school,103325,other
Juan,K,Mellis,97,M,10001,below high school,99048,retired
Mary,X,Fernandez,58,F,10054,high school,99706,unemployed
Mark,F,Kim,46,M,10153,postgrad,199743,fitness/sports
Susie,W,Suarez,67,F,10144,below high school,118712,retired
Abel,T,Xing,92,M,10073,college,221363,retired
Mary,D,Michaels,29,F,10105,postgrad,163406,food preparation
Abel,U,Mellis,59,M,10091,college,204507,fitness/sports
John,J,Fernandez,74,M,10142,some college,150664,retired
Juan,X,Alberts,50,M,10194,some college,87025,management
John,G,Kim,75,M,10013,below high school,221638,retired
Maria,P,Roberts,62,F,10072,high school,168398,transportation
Juan,M,Xing,56,M,10078,college,68537,cleaning
Juan,Q,Stevens,42,M,10080,postgrad,75875,fitness/sports
Hong,H,Kim,84,F,10181,postgrad,60496,retired
Mary,O,Suarez,62,F,10125,college,58909,other services
Maria,I,Kim,26,F,10190,postgrad,102374,cleaning
Michael,W,Alberts,29,M,10134,some college,177126,industrial
Natalia,D,Kim,48,F,10045,some college,111205,education
Maria,I,Suarez,92,F,10003,some college,150921,retired
Mark,K,Kim,66,M,10139,college,216209,retired
Natalia,F,Roberts,58,F,10042,high school,63643,food preparation
Natalia,H,Xing,46,F,10187,below high school,102955,transportation
Michael,N,Michaels,96,M,10052,below high school,219875,retired
Hong,M,Roberts,96,F,10053,below high school,157631,retired
Mary,H,Alberts,46,F,10035,postgrad,165737,other
John,S,Alberts,94,M,10198,high school,94861,retired
Alice,U,Stevens,36,F,10189,college,97879,unemployed
Abel,A,Fernandez,74,M,10036,high school,99538,retired
Hong,A,Alberts,73,F,10072,postgrad,164862,retired
Michael,H,Xing,61,M,10168,some college,132290,engineering
Xiaohan,Y,Alberts,58,M,10155,college,119549,education
Natalia,F,Roberts,96,F,10052,postgrad,203460,retired
Hong,S,Stevens,83,F,10136,postgrad,196412,retired
Susie,H,Stevens,57,F,10159,high school,208995,food preparation
Maria,M,Michaels,88,F,10111,below high school,217850,retired
Mary,P,Michaels,45,F,10038,high school,125959,industrial
Juan,S,Fernandez,30,M,10045,some college,76934,food preparation
Xiaohan,L,Alberts,68,M,10171,some college,223777,retired
Mary,M,Xing,45,F,10064,high school,141482,cleaning
Mark,H,Fernandez,84,M,10034,college,225850,retired
Hong,F,Stevens,80,F,10129,high school,131168,retired
Alice,G,Kim,48,F,10008,some college,154716,fitness/sports
Juan,K,Fernandez,30,M,10135,some college,63818,restaurant and hospitality
Abel,L,Alberts,39,M,10192,college,112056,industrial
John,X,Michaels,52,M,10029,college,50925,cleaning
Susie,M,Suarez,74,F,10112,some college,192272,retired
Natalia,Q,Stevens,62,F,10029,college,117143,management
Mary,S,Suarez,68,F,10133,college,174624,retired
Susie,X,Fernandez,25,F,10006,high school,156667,other
Juan,D,Michaels,31,M,10143,some college,170265,accounting
Natalia,Z,Alberts,25,F,10198,below high school,172763,management
Maria,D,Michaels,30,F,10145,high school,195352,food preparation
Hong,S,Mellis,72,F,10081,college,226415,retired
Maria,F,Fernandez,76,F,10057,postgrad,82205,retired
John,Q,Fernandez,26,M,10125,some college,124851,other services
Hong,D,Fernandez,97,F,10002,high school,137340,retired
Abel,X,Stevens,23,M,10086,below high school,179964,food preparation
Maria,P,Suarez,93,F,10016,some college,217987,retired
Michael,R,Roberts,74,M,10011,below high school,173099,retired
Natalia,Y,Michaels,94,F,10091,college,88828,retired
Abel,O,Mellis,97,M,10038,some college,149671,retired
Natalia,Z,Roberts,33,F,10030,below high school,92337,management
Abel,P,Kim,87,M,10093,college,171307,retired
Maria,Q,Xing,25,F,10045,some college,160249,fitness/sports
Mark,P,Roberts,93,M,10150,college,244161,retired
Maria,M,Kim,34,F,10159,postgrad,197905,other services
John,V,Fernandez,87,M,10022,postgrad,227173,retired
Susie,G,Fernandez,64,F,10040,high school,126808,industrial
Hong,I,Michaels,55,F,10026,college,210413,accounting
Natalia,A,Mellis,40,F,10051,below high school,193249,industrial
Maria,J,Stevens,61,F,10045,some college,141928,cleaning
Michael,Y,Alberts,22,M,10034,below high school,77371,cleaning
Mary,Q,Stevens,91,F,10064,high school,95969,retired
Abel,G,Fernandez,52,M,10114,college,94219,education
Alice,B,Stevens,60,F,10054,high school,130989,engineering
Natalia,I,Alberts,29,F,10184,high school,214201,industrial
Mary,Z,Michaels,94,F,10180,postgrad,74651,retired
Mark,O,Stevens,34,M,10132,some college,151909,education
Hong,V,Suarez,40,F,10200,below high school,101559,cleaning
Hong,B,Alberts,80,F,10042,below high school,220146,retired
Susie,J,Roberts,32,F,10020,college,102913,industrial
Natalia,V,Stevens,50,F,10004,some college,181244,food preparation
Mark,S,Suarez,24,M,10159,high school,246539,accounting
Michael,O,Fernandez,74,M,10045,some college,139218,retired
Hong,R,Roberts,53,F,10051,postgrad,180261,fitness/sports
Maria,G,Suarez,89,F,10083,college,72296,retired
Maria,R,Alberts,29,F,10018,high school,66662,industrial
Michael,L,Xing,73,M,10023,high school,195791,retired
Xiaohan,R,Michaels,69,M,10082,below high school,78547,retired
Alice,O,Xing,24,F,10063,postgrad,84856,food preparation
Susie,D,Roberts,35,F,10023,postgrad,55645,unemployed
Maria,M,Suarez,53,F,10134,some college,84905,restaurant and hospitality
Michael,L,Xing,66,M,10034,postgrad,231697,retired
John,F,Michaels,95,M,10016,college,135337,retired
Juan,K,Roberts,39,M,10003,below high school,119574,food preparation
Michael,J,Alberts,86,M,10055,some college,196087,retired
Mark,J,Roberts,86,M,10033,postgrad,207654,retired
Xiaohan,E,Suarez,47,M,10194,college,161868,other
Susie,B,Fernandez,96,F,10132,some college,128346,retired
Susie,T,Suarez,41,F,10186,some college,104434,transportation
Juan,Z,Xing,45,M,10004,some college,170023,cleaning
Mark,R,Stevens,52,M,10072,college,122221,management
Natalia,M,Michaels,28,F,10134,below high school,68456,food preparation
John,E,Kim,33,M,10162,high school,163264,unemployed
Alice,S,Kim,42,F,10116,postgrad,227464,education
Maria,B,Roberts,26,F,10073,postgrad,155125,restaurant and hospitality
Hong,G,Alberts,97,F,10177,high school,238153,retired
Natalia,A,Fernandez,90,F,10095,college,114389,retired
Michael,U,Mellis,68,M,10010,high school,153148,retired
Juan,N,Michaels,31,M,10151,below high school,126042,accounting
Susie,K,Michaels,63,F,10056,below high school,49212,cleaning
Juan,D,Roberts,50,M,10148,high school,83032,management
Juan,O,Suarez,49,M,10103,some college,97518,education
Abel,L,Stevens,90,M,10016,college,184234,retired
John,X,Stevens,73,M,10040,college,163013,retired
Michael,G,Michaels,35,M,10041,college,195935,other services
Xiaohan,R,Alberts,59,M,10162,postgrad,87240,unemployed
Mary,I,Mellis,37,F,10115,high school,134294,restaurant and hospitality
Xiaohan,A,Kim,71,M,10023,postgrad,67256,retired
Natalia,K,Fernandez,45,F,10030,college,164149,other services
Alice,G,Fernandez,92,F,10052,postgrad,227650,retired
Mark,A,Roberts,50,M,10145,postgrad,83257,restaurant and hospitality
Juan,W,Roberts,47,M,10005,postgrad,135265,other
John,X,Xing,35,M,10124,some college,87296,cleaning
Natalia,B,Kim,76,F,10052,some college,157158,retired
Abel,T,Fernandez,72,M,10057,some college,144642,retired
Abel,O,Alberts,93,M,10125,high school,204801,retired
John,S,Roberts,53,M,10117,below high school,247441,education
Michael,B,Kim,65,M,10135,college,91613,fitness/sports
Xiaohan,V,Alberts,46,M,10069,college,127062,other services
Xiaohan,F,Alberts,57,M,10046,some college,79005,other
Hong,B,Stevens,87,F,10020,some college,116945,retired
Michael,X,Michaels,90,M,10034,high school,183958,retired
Michael,H,Suarez,41,M,10044,postgrad,92139,other
Michael,D,Xing,31,M,10039,postgrad,183489,cleaning
Juan,T,Mellis,72,M,10022,some college,138419,retired
Natalia,M,Alberts,74,F,10126,postgrad,152349,retired
Abel,Z,Alberts,23,M,10187,college,79915,management
Alice,M,Fernandez,76,F,10006,postgrad,129255,retired
Juan,O,Mellis,97,M,10057,some college,213603,retired
Michael,C,Stevens,70,M,10081,some college,246548,retired
Maria,K,Stevens,63,F,10154,college,210299,management
Susie,M,Alberts,35,F,10024,below high school,124325,other
Mary,K,Stevens,58,F,10018,postgrad,121318,restaurant and hospitality
Abel,C,Roberts,82,M,10123,high school,197182,retired
Susie,R,Roberts,45,F,10177,below high school,120763,transportation
Susie,N,Kim,79,F,10105,college,114178,retired
John,C,Stevens,37,M,10193,high school,174153,other services
Maria,U,Michaels,95,F,10187,some college,184470,retired
Abel,E,Stevens,21,M,10030,some college,242844,other
Juan,P,Mellis,81,M,10119,college,186072,retired
Mary,O,Fernandez,65,F,10008,college,125498,education
John,D,Stevens,21,M,10081,postgrad,214763,education
Mark,L,Stevens,34,M,10142,some college,219015,food preparation
Mark,P,Xing,94,M,10070,high school,173018,retired
Maria,F,Fernandez,46,F,10101,postgrad,110968,other services
Hong,B,Xing,77,F,10047,high school,164664,retired
Juan,E,Mellis,35,M,10180,below high school,203146,education
John,R,Michaels,70,M,10137,college,98926,retired
Mary,G,Roberts,68,F,10059,postgrad,87171,retired
Xiaohan,R,Kim,90,M,10077,some college,85570,retired
Maria,B,Fernandez,49,F,10112,college,105910,unemployed
John,L,Mellis,37,M,10053,college,89871,food preparation
Alice,U,Fernandez,84,F,10167,high school,143509,retired
Abel,C,Mellis,91,M,10009,high school,188206,retired
Michael,C,Xing,25,M,10049,below high school,110982,other services
Maria,B,Roberts,69,F,10019,college,237801,retired
Mark,J,Michaels,70,M,10176,postgrad,211041,retired
Abel,N,Alberts,95,M,10112,postgrad,127326,retired
Xiaohan,O,Mellis,30,M,10062,below high school,185328,fitness/sports
Alice,T,Stevens,71,F,10067,some college,163563,retired
Natalia,E,Xing,75,F,10155,high school,209806,retired
John,G,Mellis,44,M,10167,college,140735,industrial
Natalia,C,Suarez,32,F,10122,some college,148725,transportation
Alice,C,Michaels,95,F,10168,postgrad,141587,retired
Xiaohan,A,Suarez,64,M,10122,college,96432,education
Mark,Z,Fernandez,35,M,10148,high school,135955,engineering
Susie,S,Roberts,34,F,10121,below high school,91615,accounting
Hong,U,Mellis,24,F,10189,below high school,107561,food preparation
Maria,C,Roberts,77,F,10029,high school,154267,retired
Michael,C,Roberts,50,M,10147,below high school,152156,other
John,Z,Xing,37,M,10048,college,146022,other services
Natalia,Q,Fernandez,28,F,10176,college,126758,cleaning
John,O,Roberts,94,M,10081,college,133519,retired
Michael,M,Kim,45,M,10067,some college,134265,other
Juan,M,Suarez,41,M,10014,postgrad,225316,other
Mary,G,Mellis,66,F,10082,some college,138093,retired
John,Y,Fernandez,97,M,10172,college,77077,retired
Maria,Z,Alberts,39,F,10097,some college,112062,accounting
Hong,Y,Mellis,52,F,10131,high school,220509,other
Natalia,H,Kim,36,F,10047,high school,154433,cleaning
Abel,Y,Kim,78,M,10187,college,122235,retired
Maria,O,Suarez,76,F,10192,high school,152040,retired
Juan,J,Michaels,81,M,10059,college,222411,retired
Natalia,L,Roberts,84,F,10159,high school,112886,retired
Alice,Q,Suarez,22,F,10083,high school,152982,fitness/sports
Abel,J,Xing,66,M,10041,college,159085,retired
Maria,Z,Alberts,52,F,10140,high school,129459,management
Maria,Y,Roberts,32,F,10184,some college,143144,unemployed
Alice,Q,Kim,97,F,10178,college,217106,retired
Mary,H,Roberts,59,F,10155,below high school,103551,other services
Alice,H,Roberts,83,F,10175,postgrad,130035,retired
Abel,D,Suarez,50,M,10106,high school,97339,accounting
Maria,Y,Michaels,33,F,10168,below high school,68577,management
Natalia,I,Suarez,22,F,10064,some college,235126,other
Michael,P,Roberts,74,M,10045,high school,223147,retired
Susie,X,Stevens,75,F,10132,college,196729,retired
Susie,N,Michaels,35,F,10086,high school,72025,fitness/sports
Mary,J,Xing,62,F,10042,high school,100939,restaurant and hospitality
Alice,H,Mellis,81,F,10200,some college,206605,retired
Juan,D,Kim,32,M,10155,postgrad,140058,management
Xiaohan,O,Xing,49,M,10177,high school,224299,fitness/sports
Michael,K,Michaels,47,M,10189,high school,142155,transportation
Maria,O,Kim,70,F,10042,high school,67046,retired
Hong,C,Stevens,78,F,10186,high school,203309,retired
John,A,Xing,96,M,10122,below high school,137216,retired
Juan,N,Fernandez,46,M,10111,college,71908,management
Michael,K,Suarez,78,M,10060,postgrad,190426,retired
Abel,W,Roberts,40,M,10140,below high school,190285,engineering
Alice,C,Stevens,30,F,10125,some college,220975,management
Michael,V,Kim,72,M,10121,postgrad,153721,retired
John,R,Stevens,68,M,10059,postgrad,232275,retired
Natalia,B,Suarez,30,F,10140,high school,127224,other services
Michael,R,Fernandez,67,M,10172,college,242257,retired
Alice,F,Stevens,92,F,10168,some college,150851,retired
Mark,P,Roberts,66,M,10108,college,214268,retired
Xiaohan,C,Michaels,63,M,10060,some college,139125,food preparation
Natalia,W,Michaels,30,F,10038,postgrad,100967,engineering
Mary,J,Kim,85,F,10008,postgrad,153199,retired
Alice,W,Alberts,86,F,10048,below high school,62624,retired
Mark,S,Mellis,94,M,10012,below high school,218028,retired
Abel,K,Michaels,65,M,10118,high school,73402,education
Abel,E,Mellis,85,M,10142,some college,196200,retired
Mark,R,Mellis,33,M,10029,some college,204639,management
Hong,M,Stevens,97,F,10083,high school,107418,retired
Natalia,R,Stevens,30,F,10091,postgrad,147956,unemployed
John,T,Fernandez,55,M,10060,some college,204588,fitness/sports
Maria,T,Michaels,85,F,10198,below high school,173950,retired
Mark,U,Suarez,29,M,10018,below high school,148457,engineering
Abel,W,Fernandez,67,M,10121,college,236889,retired
Xiaohan,J,Fernandez,73,M,10087,postgrad,246504,retired
Juan,A,Suarez,22,M,10133,college,135578,education
Hong,S,Xing,38,F,10100,some college,74781,unemployed
Michael,W,Michaels,83,M,10133,below high school,79719,retired
Natalia,A,Suarez,36,F,10058,high school,174469,cleaning
Michael,U,Stevens,49,M,10052,below high school,60515,restaurant and hospitality
Natalia,A,Alberts,57,F,10168,postgrad,235888,fitness/sports
Juan,G,Alberts,95,M,10161,postgrad,204943,retired
Mary,H,Michaels,83,F,10141,high school,127730,retired
Mary,J,Roberts,44,F,10185,college,225243,fitness/sports
Susie,P,Stevens,26,F,10161,postgrad,219023,accounting
Susie,Y,Michaels,30,F,10030,postgrad,125871,transportation
Michael,Z,Suarez,56,M,10199,high school,159899,fitness/sports
John,T,Roberts,80,M,10199,college,177657,retired
Mark,G,Mellis,58,M,10020,postgrad,67292,unemployed
Hong,Y,Kim,34,F,10146,high school,113165,engineering
Xiaohan,I,Roberts,21,M,10125,some college,173285,accounting
Alice,V,Mellis,77,F,10175,college,78439,retired
Hong,I,Michaels,29,F,10177,high school,87875,cleaning
Mary,M,Suarez,37,F,10198,some college,66789,food preparation
Michael,X,Michaels,26,M,10043,below high school,90044,other services
Michael,P,Alberts,68,M,10091,college,116687,retired
Xiaohan,W,Michaels,44,M,10035,some college,67928,fitness/sports
Hong,O,Alberts,68,F,10087,postgrad,166413,retired
Natalia,O,Alberts,30,F,10166,high school,104225,management
Alice,C,Michaels,96,F,10160,some college,62877,retired
Natalia,Y,Kim,58,F,10023,below high school,174456,unemployed
John,B,Roberts,86,M,10126,some college,239648,retired
John,D,Suarez,45,M,10013,high school,92230,food preparation
Natalia,A,Suarez,65,F,10181,below high school,89215,accounting
John,P,Alberts,46,M,10125,college,155844,food preparation
Natalia,P,Michaels,69,F,10090,high school,118955,retired
Natalia,N,Michaels,35,F,10118,some college,208617,other
Mark,A,Kim,49,M,10033,some college,89619,other
Mary,Z,Stevens,38,F,10187,postgrad,230441,accounting
John,J,Roberts,89,M,10032,some college,189390,retired
Maria,N,Kim,37,F,10091,some college,46194,unemployed
Hong,A,Fernandez,94,F,10092,some college,131818,retired
Susie,O,Suarez,76,F,10194,high school,164859,retired
Juan,K,Alberts,62,M,10034,high school,107317,cleaning
John,M,Alberts,37,M,10177,postgrad,93655,other services
Mark,B,Suarez,30,M,10103,below high school,203485,food preparation
John,J,Stevens,97,M,10065,high school,243103,retired
Abel,O,Michaels,68,M,10161,high school,88023,retired
Abel,A,Kim,56,M,10172,below high school,114755,engineering
Natalia,H,Kim,51,F,10155,below high school,168302,management
Maria,Y,Roberts,72,F,10045,high school,175898,retired
Michael,W,Fernandez,83,M,10080,postgrad,190927,retired
John,M,Roberts,45,M,10134,some college,79887,cleaning
Mark,Z,Roberts,48,M,10033,some college,132986,accounting
John,E,Mellis,50,M,10009,below high school,74863,restaurant and hospitality
Juan,O,Kim,67,M,10118,college,75841,retired
Xiaohan,N,Xing,84,M,10132,below high school,185837,retired
Abel,I,Alberts,26,M,10192,some college,245091,engineering
Mark,E,Michaels,39,M,10103,college,244106,other
Maria,N,Michaels,82,F,10113,some college,128385,retired
Mark,Q,Michaels,50,M,10137,below high school,201227,industrial
John,P,Mellis,25,M,10069,below high school,162114,unemployed
Susie,A,Fernandez,67,F,10193,high school,162731,retired
Mary,A,Michaels,81,F,10072,some college,138476,retired
Abel,N,Xing,45,M,10150,some college,215706,food preparation
Hong,W,Roberts,48,F,10188,postgrad,114878,other services
Michael,V,Fernandez,56,M,10119,some college,243031,education
Maria,U,Fernandez,51,F,10189,some college,54927,unemployed
Xiaohan,Q,Kim,88,M,10117,high school,110359,retired
Xiaohan,W,Roberts,62,M,10147,some college,111612,fitness/sports
Juan,H,Stevens,44,M,10031,below high school,194926,other services
Natalia,R,Kim,39,F,10144,some college,64766,restaurant and hospitality
Abel,L,Stevens,81,M,10137,below high school,229205,retired
John,G,Suarez,32,M,10107,high school,178303,industrial
John,F,Mellis,87,M,10130,some college,122304,retired
Juan,A,Suarez,85,M,10124,postgrad,220219,retired
Juan,M,Suarez,96,M,10140,some college,169930,retired
Natalia,C,Suarez,77,F,10142,below high school,111490,retired
John,D,Mellis,55,M,10081,below high school,227099,food preparation
Susie,B,Suarez,51,F,10146,some college,238630,other
Susie,R,Suarez,97,F,10084,college,86589,retired
Hong,P,Michaels,52,F,10060,college,77428,other services
Xiaohan,H,Fernandez,97,M,10165,postgrad,133974,retired
Juan,R,Suarez,81,M,10152,college,80262,retired
Maria,F,Kim,46,F,10060,below high school,112544,restaurant and hospitality
Natalia,U,Alberts,93,F,10199,postgrad,236495,retired
Mary,Q,Michaels,74,F,10095,college,82721,retired
Hong,B,Stevens,83,F,10179,some college,222389,retired
Maria,P,Xing,76,F,10125,high school,95124,retired
Mary,Y,Stevens,94,F,10093,some college,162160,retired
Mary,L,Xing,82,F,10184,postgrad,147655,retired
Susie,R,Roberts,54,F,10057,below high school,181432,education
John,T,Stevens,34,M,10145,college,214396,food preparation
John,L,Michaels,71,M,10146,college,101234,retired
Mark,D,Fernandez,93,M,10095,postgrad,207043,retired
Alice,X,Suarez,25,F,10097,postgrad,102492,transportation
Alice,J,Michaels,34,F,10075,some college,126149,restaurant and hospitality
Juan,Q,Kim,41,M,10047,high school,99762,restaurant and hospitality
Abel,D,Suarez,58,M,10026,postgrad,105908,accounting
Maria,V,Suarez,54,F,10101,some college,157368,engineering
Maria,L,Michaels,83,F,10190,high school,75470,retired
Natalia,K,Fernandez,38,F,10160,some college,73301,fitness/sports
Alice,C,Suarez,38,F,10161,high school,241636,fitness/sports
Mary,V,Michaels,76,F,10158,below high school,227996,retired
Mary,N,Xing,91,F,10156,high school,166541,retired
Xiaohan,N,Xing,72,M,10028,postgrad,110797,retired
Alice,R,Kim,84,F,10177,high school,209802,retired
Juan,H,Mellis,97,M,10190,postgrad,85452,retired
Xiaohan,L,Mellis,89,M,10069,high school,205201,retired
Michael,Y,Alberts,86,M,10022,high school,197793,retired
Mark,F,Roberts,56,M,10107,below high school,166242,unemployed
Natalia,M,Michaels,95,F,10056,postgrad,158374,retired
Maria,F,Roberts,72,F,10085,college,166920,retired
Xiaohan,E,Mellis,73,M,10049,high school,104483,retired
Abel,X,Michaels,71,M,10061,college,172032,retired
Alice,E,Michaels,62,F,10121,below high school,72612,management
Mark,O,Michaels,29,M,10013,postgrad,110376,education
Hong,K,Xing,78,F,10148,some college,90676,retired
Maria,D,Xing,28,F,10025,postgrad,199139,other services
Juan,B,Mellis,22,M,10061,college,85601,other
Juan,A,Xing,66,M,10070,college,124380,retired
Alice,N,Xing,49,F,10197,below high school,69612,other
Mary,K,Alberts,40,F,10176,below high school,163608,transportation
Alice,Z,Kim,76,F,10063,college,217330,retired
Natalia,H,Roberts,83,F,10043,high school,164743,retired
John,R,Roberts,65,M,10175,college,107664,engineering
Hong,U,Kim,67,F,10080,college,142904,retired
Xiaohan,O,Alberts,87,M,10083,some college,77452,retired
Mary,Z,Kim,43,F,10070,high school,96998,transportation
Michael,T,Fernandez,46,M,10006,high school,108042,cleaning
Abel,M,Michaels,22,M,10022,below high school,154333,cleaning
Maria,J,Mellis,96,F,10138,below high school,209486,retired
Susie,R,Xing,82,F,10185,below high school,62640,retired
Maria,O,Xing,23,F,10095,high school,133080,food preparation
Abel,X,Xing,49,M,10030,postgrad,134234,cleaning
